,storeid,state,type,type_dummy,associates_poh_pre,associates_poh_post,open_time_pre,population_post_dummy,competition_dummy,hours_open_post_dummy,associates_poh_post_dummy,open_time_post,close_time_pre,close_time_post,hours_open_pre,hours_open_post,population_within_5,competition_within_5,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,avg_pre,avg_post,24_12,24_13,24_14,26_12,26_13,26_14,28_12,28_13,28_14
357,358,TX,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,19,2,12658,12520,10405,12412,12186,16187,12136,10824,12852,12130,11208,13042,13656,11647,9550,11756,12712,14092,12022,11733,13065,10829,11642,11553,9485,12534,13930,11934,9447,10033,10722,9805,12685,13797,11943,11365,14245,10849,10934,12534,14660,10590,10837,13856,13716,13910,15240,15053,14196,17626,23323,17343,10063,14173,10803,14785,14592,14204,14846,11210,13600,14923,12141,16235,13938,12736,11370,11217,10697,14559,12440,12814,11523,11264,12137,10658,11446,16542,13472,14787,11646,12998,12950,15894,12799,12421,15466,15524,12519,11746,14957,11452,13488,12870,12009,13432,14226,18446,15449,15431,16969,21844,17355,19964,13595,14075,15263,14989,11806,18398,15893,13875,14017,11767,17153,12396,12907,15373,12080,14477,16392,12844.95385,13999.51786,14921.527282076493,15295.232068676492,15668.936855276495,15082.543358400495,15456.248145000494,15829.952931600494,15243.559434724493,15617.264221324496,15990.969007924496
358,359,OH,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,230,12,15383,16997,16854,14067,16010,19160,16029,18199,14181,14859,14107,19119,18183,17009,12964,19284,16174,19543,14252,15093,17565,17067,18176,13518,12437,16609,13801,16323,18730,13438,13945,18614,19121,20433,18002,19138,17553,17460,20590,20858,19268,18947,14882,18670,21185,16318,21758,20579,19718,25512,23017,17378,15132,15421,17202,18803,17940,24776,16214,17232,20218,20980,21732,18772,17055,19922,17229,15180,19871,21065,15910,20868,14378,18325,19023,16804,16459,17117,19773,14483,17885,17496,20551,20679,16197,17109,15865,16852,21469,16252,20727,16818,17726,15999,22761,17505,23685,23812,22069,21033,22422,31487,29184,23859,17877,17304,18658,19402,17832,20184,20180,20828,18591,16300,15953,20360,21691,15985,19849,20286,17080,17685.44615,19182.30357,20642.45238620873,21016.15717280873,21389.86195940873,20803.468462532728,21177.173249132735,21550.878035732734,20964.484538856734,21338.189325456733,21711.894112056732
359,360,IL,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,140,13,6952,6960,8054,9708,8930,8166,8260,7274,8556,7247,7243,7985,9568,7612,7386,9604,7469,9049,6652,9710,6657,7013,9160,9154,8369,9649,7099,9072,7535,9222,7917,7850,10520,8601,8034,7272,10609,8928,7629,8652,10192,10902,10413,7497,9120,11185,9914,11041,9080,12555,13223,9405,8586,7597,9591,10082,9327,12038,9545,9832,10716,9405,10109,10019,9292,7582,8457,9134,7704,10044,9135,9151,8230,7695,11802,7897,9638,9789,10260,8450,8279,10552,9385,9114,11556,8668,9303,11579,9279,8398,10530,10354,9373,10890,8537,11571,10154,10667,12968,8286,11581,16940,14675,10668,8138,11217,9044,12442,11469,13015,8916,10182,8678,8130,11589,11839,8968,8195,10966,9368,10718,8953.738462000001,10020.51786,10491.698622074693,10865.403408674696,11239.108195274695,10652.714698398695,11026.419484998694,11400.124271598694,10813.730774722693,11187.435561322693,11561.140347922692
360,361,IL,Standalone,1,24,24,7,138,25,14,24,7,21,21,14,14,138,25,11839,12512,10318,13692,10834,14767,11540,9870,12271,10845,14279,11077,11977,13057,12235,12734,10948,13411,11332,13142,12865,11363,12963,10481,11620,14975,13855,11712,10500,11416,13770,13421,12771,12470,12743,11178,11249,12881,12593,10851,15151,14131,14173,15501,14903,12401,19812,12750,14133,22547,20236,18714,12284,10983,10485,15720,13601,16574,10910,14829,11086,14538,15995,15103,11864,12945,13710,14304,14044,12342,12773,14567,11131,11077,12178,11749,12031,13753,11452,13128,13952,12020,11292,11953,16341,12621,12762,15205,12433,14892,17066,15324,13430,13681,16897,15136,15440,18726,17664,16535,14200,17235,23607,16648,13716,14686,14309,17007,11316,19736,15529,15016,17143,14847,12987,17665,15972,15192,14037,13043,13998,13181.24615,14507.91071,15487.033671234889,15860.738457834888,16234.443244434888,15648.049747558887,16021.75453415889,16395.45932075889,15809.06582388289,16182.770610482889,16556.47539708289
361,362,SC,Standalone,1,24,24,7,273,9,14,24,7,21,21,14,14,273,9,10017,12136,10409,11100,9943,14341,10679,9934,11033,11415,13146,12509,11080,13375,14307,13016,12651,14308,13412,11438,13644,9495,12098,12928,11707,12644,9729,13595,13814,10955,11709,11307,12473,12519,13308,14052,10693,13060,11920,15371,13506,13787,10601,14201,11205,14520,17736,14076,14405,18131,17906,12906,12748,10037,10219,14894,10059,18266,11311,12607,13669,14659,11472,11358,11432,14022,11970,11844,12512,12080,12778,13064,13583,14143,16175,10161,13666,15630,11140,11441,10865,11303,12533,14301,16272,16916,13298,16368,12929,14422,15530,16233,15713,16218,12942,16355,17662,13733,21130,12986,15270,18022,24022,20396,12197,11530,14452,15614,12327,16028,12985,12248,12240,12301,13914,14442,13689,12105,17290,12225,15610,12661.24615,14300.446430000002,15258.300589831275,15632.005376431274,16005.710163031274,15419.316666155273,15793.021452755276,16166.726239355276,15580.332742479275,15954.037529079274,16327.742315679274
362,363,NJ,Standalone,1,24,24,7,430,42,14,24,7,21,21,14,14,430,42,16498,14240,19008,21391,17180,23584,14358,18523,14613,17797,20846,20500,20468,16610,17848,17547,21335,23313,18265,19876,16825,18386,19451,18974,15534,16607,17101,14429,18042,20615,18913,18422,18510,21778,15556,15538,21330,18653,16837,15762,17193,17302,20334,23353,23585,21125,24582,22717,25429,31332,33595,25218,14624,19722,20167,22934,15338,27831,20597,21136,19030,17588,18905,22783,22222,18614,19786,19167,18428,18268,17273,22881,18409,21936,23943,21054,21407,20784,20891,22020,22661,19921,18778,21452,17208,20571,24761,22185,22153,18670,21852,19525,21038,22692,21927,18828,23573,24061,29322,21206,19000,32117,29878,21241,21319,16811,21820,25495,19913,22516,19508,24840,24331,22099,17851,18290,19386,21489,21487,17416,18762,19687.76923,21300.25,23009.927915106906,23383.632701706905,23757.337488306905,23170.943991430904,23544.648778030903,23918.353564630903,23331.960067754902,23705.6648543549,24079.3696409549
363,364,TX,Standalone,1,24,24,7,33,71,14,24,7,21,21,14,14,33,71,11612,11686,9397,9202,9147,11112,12815,10831,11481,11362,12249,11787,11875,11494,9208,12770,10888,11993,8948,13118,11395,11914,13588,8827,9962,12509,13026,10484,9624,12646,9428,9369,10496,11632,13293,11514,12028,10025,10362,10163,12995,11440,14319,11499,13596,14439,15826,10485,12077,15510,15020,13033,12308,12970,11886,13782,12086,13618,10922,12758,12369,10548,13838,11612,12069,10188,10683,12003,10830,14997,12039,14491,12307,9871,11440,13569,12188,11917,10080,11072,13018,10720,13775,11303,14508,12120,14901,10824,13045,13223,15250,11375,15610,11851,15298,11050,15598,16440,16683,11461,14249,17206,21985,15217,14298,10281,9833,14992,14032,17703,15079,14760,15548,12446,13129,14156,12726,13063,11933,12495,12215,11788.692309999999,13269.17857,14111.75383869128,14485.458625291283,14859.163411891283,14272.769915015282,14646.474701615281,15020.17948821528,14433.78599133928,14807.49077793928,15181.195564539279
364,365,ID,Strip Mall,0,24,26,7,0,0,0,0,7,21,20,14,13,257,16,12405,12198,12655,13813,15237,13164,12169,15803,10954,14004,12703,15449,13832,13906,15541,12473,12027,16666,14953,14305,12373,13265,16674,12036,11618,14359,15539,11165,12932,12459,16004,15499,16017,14455,11935,15591,15462,11742,17451,12488,16158,17129,17556,15408,16721,16800,16507,15900,19037,17449,19087,20737,11888,15829,14947,16923,14718,17190,11891,14310,12286,14336,14651,15026,14618,13241,17160,17412,17365,17773,17154,17552,14297,13365,14238,11404,13575,16265,12026,13123,13306,14502,14535,14489,16581,13679,16236,14024,14146,14429,17023,17968,18552,15586,17121,14284,19670,19621,21599,13359,17191,22608,23447,23290,14904,15168,16127,15459,17886,22755,17027,15592,16926,19332,15569,14674,16134,18358,16422,19242,15517,14621.89231,16433.71429,17589.702307441563,17963.407094041562,18337.11188064156,17750.71838376556,18124.423170365568,18498.127956965567,17911.734460089567,18285.439246689566,18659.144033289565
365,366,WI,Strip Mall,0,24,24,7,0,0,0,0,7,21,20,14,13,404,9,16227,13526,14954,13339,13896,23072,15094,16076,14370,16323,14115,14380,13227,17123,19041,16955,14142,19723,13950,15341,17032,18840,18859,14015,14712,18133,13504,18004,17014,16522,15392,18485,19109,16110,16866,19006,18162,19556,17992,14714,18053,15735,18407,14619,15825,21325,21604,19846,16101,25795,28364,19449,14859,19416,15117,15837,17403,24641,20903,16466,19408,20281,16376,19529,15970,19335,18604,16504,20326,16539,17312,15995,17678,16338,19140,17920,14979,18142,19540,14676,17450,20108,20114,20345,20299,17027,18483,18954,21326,19724,15848,19515,18082,18927,15619,19771,19175,23570,27689,18210,23257,28532,26243,20111,18277,18390,20596,21436,20217,23643,22428,21642,15728,16602,20643,18744,15250,22669,20827,17903,21231,17357.384619999997,19422.01786,20914.042213652494,21287.747000252493,21661.451786852493,21075.058289976492,21448.7630765765,21822.4678631765,21236.074366300498,21609.779152900497,21983.483939500496
366,367,OK,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,6,0,13251,16410,16678,19054,14134,24045,18326,16288,19471,19053,19736,21514,16872,16370,19745,16843,14601,20319,17144,18236,19093,14611,19238,16700,14891,16485,19294,18752,19510,14576,16619,16585,19677,21477,22544,18711,15973,17257,18092,19828,20369,16645,22255,18332,22915,23428,28712,16301,20862,29487,24576,28238,16043,14610,15455,17278,15290,20952,17790,18234,22480,21574,22104,20197,19311,22182,16573,17992,15804,23048,21865,17002,16510,17357,16548,16839,15281,22915,17848,22893,18284,18766,20783,17555,16322,17337,20232,22770,20888,18233,23755,23348,21347,20781,18031,24879,24815,26654,29220,23315,23286,36009,32285,30621,16725,22388,19598,22584,18737,28188,23210,20186,22856,21673,25984,25560,19006,19930,23742,22754,23606,18945.24615,21551.78571,23291.39582481704,23665.100611417038,24038.805398017037,23452.411901141037,23826.116687741043,24199.821474341043,23613.427977465042,23987.13276406504,24360.83755066504
367,368,NY,Standalone,1,24,24,7,436,22,14,24,7,21,21,14,14,436,22,14183,10842,14691,14884,11159,13378,11007,15706,12920,14078,15876,13856,16138,11141,11154,13843,11864,16101,10855,11342,15997,11749,12132,12369,15684,12282,13027,13751,15364,15320,12779,15589,15891,14094,17234,16428,12813,13875,12348,14775,14004,17807,16195,16455,14837,13730,17850,16851,18271,23231,24036,18503,16446,12670,15328,13301,16113,18951,17054,14144,17978,16166,16435,16670,13379,15305,13784,14189,14017,17507,16720,13792,13339,12424,16882,11784,16195,14547,13415,17748,15332,12943,18789,15874,13969,17638,13293,18679,14644,15563,15180,16598,19814,14492,18928,16492,14891,19052,20400,16299,15096,28350,27920,16643,15802,15086,14825,17418,17411,18621,14798,19588,15845,19632,14656,15764,13985,15786,17330,18326,18050,14844.98462,16454.46429,17643.48168847507,18017.18647507507,18390.891261675068,17804.497764799067,18178.202551399067,18551.907337999066,17965.513841123066,18339.218627723065,18712.923414323064
368,369,NJ,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,109,3,6869,5619,6642,7082,7748,6923,6884,6470,8238,5619,7829,7555,8252,7943,6681,8037,7317,9121,6150,6410,5765,7713,8658,6779,7185,6717,6507,8127,5654,5730,7759,6954,6166,8620,7436,5961,7606,6229,7049,6764,6217,6269,8464,7784,8142,9804,9566,8265,8732,11992,11596,8485,5849,8477,7688,8882,6538,9560,8945,8857,6191,8600,8245,7554,6242,6196,7023,7443,7665,9056,8250,9182,7952,6798,8194,7376,6280,6909,6699,6939,7147,9059,8738,7589,8780,9340,7943,9394,8127,8415,8141,9663,8409,9080,9758,8649,8218,11018,12610,10064,7539,12350,12743,10299,7232,6868,6877,9486,8789,11326,8213,6865,9925,8787,8966,7966,6967,8565,8740,10102,8019,7534.030769,8548.714286,8881.520080857665,9255.224867457666,9628.929654057667,9042.536157181667,9416.240943781666,9789.945730381665,9203.552233505665,9577.257020105664,9950.961806705664
369,370,IL,Standalone,1,24,24,7,327,10,14,24,7,21,21,14,14,327,10,14532,13368,15077,14874,15895,17735,14738,13288,17328,17086,18535,20334,12842,17273,17231,18437,14711,16599,16790,14531,14501,15012,15323,16054,12364,20612,17588,18102,18535,18729,15008,14385,13972,16323,16105,16865,19832,16285,16223,17456,14887,17492,15604,20490,21566,23012,26734,16429,18388,21690,29749,20201,18648,17286,17719,20042,15501,23291,18221,17812,18411,19646,19238,17337,18923,19288,14827,15439,15414,18570,16623,18273,18937,18027,20277,15065,19454,15989,16177,18613,16055,15129,16789,17227,14643,18366,22594,16449,21230,19657,18695,15341,16854,16456,22044,15478,19268,21502,25448,17425,23856,23880,23525,27477,20838,17127,19972,21793,17421,20572,21424,17597,18039,22272,16004,16577,19528,16697,21733,16469,21584,17519.92308,18785.85714,20226.833296299963,20600.538082899962,20974.24286949996,20387.84937262396,20761.55415922396,21135.25894582396,20548.86544894796,20922.57023554796,21296.27502214796
370,371,OR,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,267,18,12352,9735,11365,12617,12894,17707,14801,11216,14841,14123,14444,14553,14442,12441,10856,11583,11778,15387,12485,13141,10514,13141,14944,12478,10978,11764,12437,11391,13290,12959,15231,11707,14379,15221,11419,11310,11805,13871,16366,12757,12814,14067,14194,14026,12379,17069,21560,11751,16405,22838,20945,19337,14165,12311,14101,12529,15700,17144,12271,15946,13876,14520,16238,17421,16106,16596,16579,13401,14267,15898,11410,12099,16258,14567,12871,15001,12091,18035,16508,11915,15801,14607,15850,11933,11700,16185,15491,15838,14431,14210,12415,13499,13169,16889,16836,15646,15368,19131,21677,12759,15455,26006,24879,17614,15451,12351,12699,14536,14290,17789,12216,17591,12236,13051,16507,16583,17388,14604,17346,13931,16705,14006.707690000001,15359.98214,16396.267761282914,16769.972547882913,17143.677334482913,16557.283837606912,16930.98862420691,17304.69341080691,16718.29991393091,17092.00470053091,17465.70948713091
371,372,TX,Standalone,1,24,24,7,419,81,14,24,7,21,21,14,14,419,81,7823,8180,6649,7304,7201,11970,8162,7206,7994,8835,8810,10131,8979,8842,8152,10451,9846,11377,10077,8956,10192,7613,7844,8986,7003,9407,7990,7647,9019,7940,8731,7639,8175,8236,10267,7497,8102,11061,11240,8297,9732,7985,7986,11100,11009,12895,13840,11437,11790,12266,16940,13572,9429,8249,8361,11774,9445,12487,11639,8151,8822,9513,8851,10087,10855,8362,11695,11711,11847,10581,10107,11104,11069,8332,10439,10600,8701,9222,7842,11684,11119,8616,10855,9273,8327,12002,9453,8749,10935,9625,9246,12220,8824,9378,11399,8873,12557,14096,16285,8980,11877,16473,13337,12621,10190,10822,7971,10967,11063,13583,11916,10215,8994,11391,12250,13436,11912,9932,8809,11360,12065,9508.4,10808.78571,11385.64076201774,11759.345548617739,12133.050335217738,11546.656838341738,11920.361624941737,12294.06641154174,11707.672914665736,12081.37770126574,12455.082487865739
372,373,NC,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,25,24,12393,11092,12008,13121,15164,15046,14676,13542,11635,11263,11699,16519,12222,12398,12028,12982,15261,12381,15595,16725,13362,10847,16905,14278,13859,17084,10940,15083,14439,15619,15597,14335,11827,16654,12928,14597,12958,16501,13969,16938,12349,16844,14263,12416,17056,18219,22183,18209,14774,18295,22638,20390,11270,14105,12040,15818,15690,15464,17658,17738,16084,16316,17713,18498,15577,16613,17941,12962,13503,19101,16210,14041,17116,13716,13159,11515,12268,14188,13325,14842,14518,13715,12900,15996,18264,19009,16555,17012,15673,18311,17892,17730,19561,16973,17380,13542,14505,15288,18737,14514,15589,19539,22313,18079,14438,14135,12194,18782,12856,23081,19217,14979,19568,19263,18639,19473,15630,15436,17552,16424,17851,14893.49231,16314.51786,17441.525776408496,17815.230563008496,18188.935349608495,17602.541852732495,17976.246639332494,18349.951425932493,17763.557929056493,18137.262715656492,18510.96750225649
373,374,MA,Strip Mall,0,24,26,7,0,0,0,0,7,21,20,14,13,73,7,8302,10011,7884,10671,10394,10784,8684,8400,9057,9076,10220,9598,10882,9559,8450,10909,9097,10945,8099,11300,7742,11049,10304,7934,7922,8955,7747,8787,9571,8571,8998,10818,11444,9822,8821,9923,11345,9984,11775,11359,9993,9257,8896,10255,10057,11812,12523,10569,11797,14896,15306,14965,11502,10633,11100,8932,10803,11281,9967,12547,8799,11309,9749,12080,11787,10472,10358,9557,9697,13224,11006,8807,12119,11385,12453,11491,9913,10132,11973,10717,10768,12243,8965,9229,10195,12825,13123,10774,12543,10788,11975,10507,9154,9902,13446,12242,11200,11454,15160,9349,12406,13110,15548,11816,11836,12868,11321,10664,10961,11788,11338,12440,11150,10237,9948,11708,9354,13000,9916,9713,10315,10246.27692,11260.41071,11877.263330179389,12250.968116779388,12624.67290337939,12038.27940650339,12411.98419310339,12785.68897970339,12199.295482827389,12573.000269427392,12946.705056027391
374,375,WI,Standalone,1,24,26,7,10,0,13,26,7,21,20,14,13,10,0,6927,6786,7143,7209,6013,8545,6231,6335,8436,8597,6710,7245,7767,7774,8693,8861,7048,8209,6185,8710,8591,8234,7023,6701,6724,7024,7220,8779,7307,6976,8122,9271,8820,7185,8132,8574,9047,6626,8823,8871,8234,9107,8315,9583,8528,7746,10983,9713,9917,11299,12657,8504,8698,7308,7239,6832,7725,11932,7606,6867,9009,9504,9929,8398,9731,8586,9778,7750,8850,10114,9033,9399,9076,8895,10418,8193,7731,9952,7679,9644,6638,9017,8417,8399,7549,8393,10312,10134,8960,7785,7763,7845,10543,8082,10316,9737,9888,9342,9572,9262,10416,11209,12660,9603,7208,9122,6875,8794,8795,11361,7652,10188,8532,8428,8811,10188,10732,9529,10722,8590,7703,8197.507692000001,9110.178570999999,9509.520324086903,9883.225110686906,10256.929897286906,9670.536400410905,10044.241187010904,10417.945973610904,9831.552476734903,10205.257263334903,10578.962049934902
375,376,OH,Standalone,1,24,24,7,171,12,14,24,7,21,21,14,14,171,12,9562,13196,12510,11721,11063,14841,14196,12678,15092,14707,13362,15757,15231,12573,13999,12648,14190,12620,14047,15210,11376,15007,14225,12826,10526,15513,14979,11500,13066,14321,12744,15572,11854,12236,14025,12897,11555,11786,16447,14596,13784,12216,14356,16857,16318,12720,15008,14975,15241,17672,22248,16003,15013,12802,11191,15688,12636,18023,15398,11989,12350,11805,12726,14534,13503,16363,16704,15241,12286,16186,12113,13541,14778,11794,13731,15753,14663,13179,11419,15975,13990,11812,11943,12902,12119,16302,16850,14248,15367,16436,14514,12395,14016,12660,16423,15825,14634,15628,21401,17066,15000,26337,25211,18994,12849,16705,15525,15646,15094,21029,13408,17880,13860,15832,17567,19271,16828,17917,13059,12459,12823,13866.307690000001,15420.553569999998,16498.86839006823,16872.57317666823,17246.27796326823,16659.88446639223,17033.589252992228,17407.294039592227,16820.900542716226,17194.605329316233,17568.310115916232
376,377,NY,Standalone,1,24,28,7,5,2,12,28,7,21,19,14,12,5,2,15927,12376,16273,16593,12681,20123,17135,14270,13271,18385,14913,16383,18810,13878,14980,14856,16064,16948,18862,19115,14416,15805,18114,17542,17308,19611,14612,17003,18849,18812,19030,14434,16155,15206,20825,17477,16399,16376,19282,18434,14757,17795,15480,15790,16467,23391,24955,21221,16388,23966,22576,17604,16489,19094,17096,21419,20046,23776,20329,19963,19126,15214,19743,16335,19061,20178,15585,14683,20698,21682,17210,20490,15691,16011,16378,16236,18222,20564,15881,15596,16504,16916,16503,15537,20270,21097,20495,17816,20806,17875,19781,15696,18731,21573,17762,17734,20606,24716,28488,19656,23676,28842,23314,22107,15198,14938,17014,18467,19131,26661,21063,21351,15893,15618,16858,18003,19818,21270,22109,17057,20889,17624.83077,19159.71429,20641.504207249367,21015.208993849366,21388.913780449366,20802.520283573365,21176.225070173365,21549.929856773364,20963.536359897364,21337.24114649737,21710.94593309737
377,378,UT,Standalone,1,24,24,7,14,2,12,24,7,21,19,14,12,14,2,4981,5050,3860,4405,5402,5166,5675,4367,5952,4603,5643,6433,4433,4329,5794,4764,5815,5422,4268,5816,5486,5948,5235,4482,5354,5071,5574,5293,4718,4997,5786,4814,4295,4574,4743,4264,4979,4539,5167,6288,4571,4970,4617,5278,5209,7119,7111,6547,7029,6909,8248,7651,5800,5571,4829,5232,5040,7970,5508,6588,4693,4930,6816,6011,5360,6406,4557,6253,4372,6335,4942,6248,5305,4536,5494,4550,4886,4990,6120,4505,5562,4312,5418,5899,4862,5176,6017,5005,5301,6643,5212,5749,4880,6342,5577,6816,6143,5769,7727,6590,5859,8234,9261,7394,4363,4500,5824,6869,5170,7703,4767,6956,6712,5261,5591,7523,5601,5716,6598,6107,5970,5436.8,5829.964286,5875.810920316764,6249.515706916765,6623.2204935167665,6036.826996640766,6410.531783240765,6784.236569840765,6197.843072964764,6571.5478595647655,6945.252646164765
378,379,CT,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,20,1,16137,13674,11906,18514,13558,16271,18711,12759,18434,13678,15972,19314,14666,19141,14962,18286,18165,19980,18134,13392,18361,14687,13535,16331,13514,20109,13345,12869,13614,17966,16660,17313,18557,15819,15559,16071,18715,17815,20898,13981,18676,18625,16164,17589,15784,23334,21847,18949,22558,20696,30457,22623,17400,15658,14484,14826,19346,17575,17147,14336,17746,17308,19607,22570,19527,17678,14438,20942,19923,18313,18184,15023,19381,18852,22065,14389,14812,15978,20301,19621,18039,20565,20959,18671,15919,17807,15537,17286,16708,16763,16953,19920,19239,19598,19618,17662,22144,17743,27471,19646,23639,31227,32777,23074,18027,21172,16356,22831,17937,23671,17513,20047,16621,21712,22915,19450,18842,16959,16913,19141,17937,17326.23077,19409.08929,20915.860619068015,21289.565405668014,21663.270192268013,21076.876695392013,21450.58148199202,21824.28626859202,21237.89277171602,21611.597558316018,21985.302344916017
379,380,VA,Standalone,1,24,24,7,340,35,14,24,7,21,21,14,14,340,35,7360,10716,9461,8498,8803,9912,8043,7968,8263,10405,10217,11172,8768,8268,10663,9090,11655,10418,9014,7976,10119,8873,10114,7583,10392,10585,11169,9409,10536,11148,11658,11028,9888,12080,9083,9325,9169,11384,11796,9273,12629,11110,9802,9200,12551,11045,11360,10311,12455,14643,16783,11796,9036,8336,10028,10233,9678,11679,9621,9625,10774,10133,10723,9420,10790,11052,12152,12288,12122,10398,10306,11108,9242,8847,9990,11862,8487,12900,10333,11848,9931,9463,12228,12191,9695,12807,11673,10611,10279,11872,11241,13167,13920,9466,13955,11105,12027,12497,15814,10224,11441,14159,15792,13807,8619,12419,8587,9765,11863,13267,10642,10847,10890,12270,14461,14126,12970,12636,12272,9950,12689,10231.43077,11617.375,12284.44073629235,12658.14552289235,13031.850309492353,12445.456812616352,12819.161599216352,13192.86638581635,12606.47288894035,12980.177675540353,13353.882462140353
380,381,TX,Standalone,1,24,24,7,167,5,14,24,7,21,21,14,14,167,5,7723,7495,6582,9049,7100,9571,7304,8989,9097,7350,9191,10030,9311,8697,7806,8964,8969,9398,7675,8315,9012,8689,7108,7234,8468,9418,6823,7333,8271,7372,9919,9649,6836,6963,10080,8806,8165,7648,9997,7889,8964,7217,9916,9184,8995,9847,9742,7321,8734,13811,13527,8997,8247,7496,8931,8894,8968,10927,7966,9891,7088,8349,8636,10057,8751,8525,10332,9329,7725,9985,9631,7412,9287,7295,10914,8918,8105,9584,10097,7750,8710,10229,10150,8148,7602,8365,7683,10055,10681,8308,10499,9955,11472,8149,10657,11382,10180,12718,13478,10750,9942,14137,16971,13088,9366,9825,10049,11331,7600,12205,10110,9618,8675,9712,8230,11223,7887,8165,8556,8465,9424,8688.492307999999,9797.125,10270.130278725052,10643.83506532505,11017.53985192505,10431.14635504905,10804.85114164905,11178.555928249052,10592.162431373048,10965.867217973051,11339.57200457305
381,382,NY,Standalone,1,24,26,7,44,2,13,26,7,21,20,14,13,44,2,6880,7248,8919,8827,7156,9130,7139,9940,8267,8548,9759,10133,6984,8993,9126,7518,9720,8582,9305,10379,9076,7085,8341,7328,7031,9736,7073,9968,8679,7582,10128,9840,9289,9283,10533,9482,10718,9762,9290,8122,8480,7637,9938,8564,10139,8511,11103,10807,11862,15268,16757,11053,8901,9646,8794,8836,9044,10330,10466,7763,9346,7553,10599,8685,10666,10337,9640,8557,10543,11678,7652,8733,10433,8611,9709,7595,7202,10794,9259,9467,10794,9447,9432,10144,8850,8085,11678,7957,8598,9115,9944,9221,8977,12067,11631,11890,9220,10393,11365,11959,10896,13325,15995,13787,10847,9742,7976,9072,11121,12503,10855,9158,10707,11321,11483,11769,11033,11486,9328,10394,8669,9256.107692,10222.21429,10741.214726024364,11114.919512624363,11488.624299224366,10902.230802348366,11275.935588948365,11649.640375548364,11063.246878672364,11436.951665272367,11810.656451872366
382,383,ME,Standalone,1,24,24,7,12,33,14,24,7,21,21,14,14,12,33,5313,5721,4198,6708,4929,6262,4817,6239,6609,6701,6196,6525,5233,4640,6702,5385,5431,5468,5849,4638,5524,5536,6594,4533,5436,5092,5121,5183,6264,6656,4822,5171,6244,4950,6433,5240,6097,6872,5789,5388,6950,5508,6865,7066,7074,5758,9044,7409,7327,10138,9183,6299,4539,5780,5396,6652,6273,7180,5742,5619,6470,6548,5498,7523,5364,6233,6306,6548,5602,7300,5781,6761,5091,6738,5286,5425,6969,6451,5429,5771,5017,5649,5926,6279,5921,7081,7440,7120,5277,7539,5695,7173,5635,7660,5675,6247,6193,6685,9183,6649,6697,8921,12179,8022,6441,5587,5540,5574,5518,8500,7879,6449,5621,7749,7223,7956,6977,5711,5510,6090,6739,6057.138462,6582.464286,6707.280818365065,7080.985604965066,7454.690391565067,6868.296894689067,7242.001681289066,7615.706467889066,7029.312971013065,7403.017757613066,7776.722544213066
