storeid,state,type,associates_poh_pre,open_time_pre,open_time_post,close_time_pre,close_time_post,hours_open_pre,associates_poh_post,hours_open_post,Predicted avg_post,avg_pre,avg_post,population_within_5,competition_within_5,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,change,Desirability
383,ME,Standalone,24,7,7,21,21,14,24,14,111611.98594,73122.76923,108496.7857,12,33,58240,66400,35940,86140,50560,77220,48320,76760,84160,86000,75900,82480,56640,44780,86020,59680,60600,61340,68960,44740,62460,62700,83860,42640,60700,53820,54400,55640,77260,85100,48420,55400,76860,50980,80640,56780,73920,89420,67760,59740,90980,62140,89280,93300,93460,67140,132860,100160,98520,154740,135640,77960,42760,67580,59900,85020,77440,95580,66820,64360,81380,82940,61940,102440,59260,76640,78100,82940,64020,97980,67600,87200,53800,86740,57700,60480,91360,81000,60560,67400,52320,64960,70500,77560,70400,93600,100780,94380,57520,102760,65880,95440,112700,153200,113500,124940,123860,133700,183660,132980,133940,178420,243580,160440,128820,111740,110800,111480,110360,170000,157580,128980,112420,154980,144460,159120,139540,114220,110200,121800,134780,-11860,0.162289514
384,NV,Standalone,24,7,7,21,20,14,26,13,153880.45746,111050.1538,158032.6786,9,2,64200,92740,63900,113660,103900,154140,85620,94440,70280,87640,105260,97860,73820,115010,105250,102930,73790,140370,75430,99690,119990,88590,80370,83190,107170,103630,103630,77590,97210,72750,121030,94170,115130,144670,141970,86490,89530,132930,93190,90670,85190,135410,133350,87570,89350,104890,182590,119750,137070,228350,181730,193250,84470,120970,118930,95970,103110,158070,121830,130970,137170,101010,121770,133930,147730,149670,86270,136790,87030,145930,87430,128230,105650,84950,134450,93330,82710,166430,135570,103630,141390,116130,111230,135850,155150,134150,114210,158210,119430,156990,164350,137810,194720,204560,146920,155700,162780,166300,228120,167360,217320,267840,314280,261600,148620,159400,192520,180000,146660,202400,190880,212580,180200,168080,213840,160740,206820,156740,147500,154100,168280,41190,0.312382173
385,LA,Strip Mall,24,7,7,21,21,14,24,14,206163.15302,155619.3846,212931.0714,370,19,112760,141960,153300,168780,109320,145300,174840,107100,133180,149380,147200,131920,114720,149440,118360,125240,131080,185040,155440,134980,169940,144300,145860,150240,171820,124240,117240,148240,165460,112200,130860,123860,120860,182680,155220,117820,181240,165000,126500,146900,132720,195920,198180,140500,206820,167900,215220,129240,179580,254840,329820,245380,138900,141240,115620,197740,122060,175460,178200,137720,186100,161880,140620,143480,190300,164200,203720,127360,192860,145280,149080,184700,184980,132840,189380,177500,152740,222960,186280,132440,151560,207700,159220,172720,171700,217020,149980,180900,172940,162580,204280,193120,228180,234780,198200,261720,255900,309140,304800,226200,222720,367460,383180,293140,175240,259380,175340,276660,202540,287600,212260,233620,194120,240560,239400,273780,224280,208040,256280,274140,215440,34720,0.387081276
386,CO,Standalone,24,7,7,21,21,14,24,14,356593.69778,290283.3846,348960.7143,395,48,275500,196180,194720,311800,250960,344100,274960,197380,274520,249040,205000,222240,293180,229800,251600,269420,278680,331480,267440,308360,247860,211600,269040,244680,280080,345740,244960,269380,310100,280780,247720,295760,282040,333020,291420,264920,298140,312900,255740,266840,344580,345140,254100,325400,312260,255440,404040,260300,330960,395340,415320,425420,312640,263960,309660,280680,300800,418000,336420,297440,347040,227980,231080,380440,314900,221660,287360,235380,350580,376260,296240,291900,313540,276660,328720,230260,267920,371140,237160,343600,275040,303940,283120,322340,271100,330160,274900,361760,299660,278840,300200,254600,366700,333840,346380,407900,382260,340200,576960,435380,427380,441520,480760,519940,271580,390720,309120,349120,398720,478540,370080,417400,350960,435960,377460,425940,401060,391040,357600,354240,419000,-63380,0.569083596
387,VA,Standalone,24,7,7,21,21,14,24,14,349873.62992,284444,360082.1429,325,55,195840,295560,241460,237200,196420,288020,301080,292500,220980,207040,219000,328760,287860,216500,213140,270520,229540,267240,263740,288660,195380,272380,244140,301220,233880,308320,309920,256780,236220,282760,327280,212780,327480,330620,251440,292340,212540,335180,323500,256560,240640,274020,339080,319720,311900,365000,483260,310320,301760,425600,512820,316800,214980,226460,237380,296200,279960,307100,290560,274780,304500,299800,273720,367620,343100,299240,310240,344160,259860,341280,266700,317800,267500,278840,366780,305400,318540,330860,260160,286400,322960,305880,252000,300740,365860,372900,287460,337740,268040,284360,388200,269660,348580,418540,443240,364380,441220,353660,561180,339200,337740,555120,659420,502220,358740,394060,286120,444000,372400,379000,424300,353620,436980,381300,430480,351960,355060,410460,386180,335700,430180,-71360,0.538006458
388,MN,Strip Mall,24,7,7,21,21,14,24,14,226231.6865,173553.8462,221545.3571,277,6,160220,131940,125400,159140,109800,201040,187180,124280,177080,142600,188880,161060,193220,116040,175220,134180,148100,210080,161680,184580,119120,165360,188080,117180,176200,176720,178200,147940,165720,162620,189280,182520,122600,208220,153320,173780,192440,157320,194060,162300,170700,174560,184160,209040,165040,226760,215660,136500,211820,225380,230080,273140,154240,182720,170040,172380,140280,222340,136380,155180,156160,217600,194200,230600,201340,145440,132220,136100,217140,220900,194060,136060,193580,181060,146100,185740,177700,189940,138080,156840,216600,131880,216480,192100,138000,176920,184120,212360,194780,218120,162060,220300,277500,213800,238540,266500,212920,316840,307340,249700,306520,283800,334840,262160,219580,272320,258380,242380,250480,269740,240700,257800,278400,231920,248840,291160,272320,223460,240660,268880,254380,-77180,0.314599238
389,AR,Strip Mall,24,7,7,21,19,14,28,12,282172.21472,238392.9231,278668.5714,239,77,229280,239740,153500,228900,183220,298140,197480,198980,190840,185180,246040,213040,237620,165360,254360,268700,235560,265080,184900,257820,216800,245160,245740,180340,166940,284340,193520,256660,229780,262140,192280,254800,236940,204180,185220,243060,224380,189560,213440,266760,289580,286500,257120,228600,219740,237960,369700,196120,285060,422780,424140,235700,216280,196980,186140,297960,185000,315200,188280,239620,279920,273780,225080,217100,295420,197760,259480,281580,180880,242820,210200,251560,264960,199940,269840,179240,179620,216980,216440,273560,277440,256060,257940,200040,202260,199440,286880,214180,213260,278280,276360,234220,361960,336980,281800,284680,323380,386980,356300,322500,278520,355780,484840,304560,267260,280440,238540,332820,298160,348720,267920,275300,271700,348000,336860,329700,342820,304380,334980,276380,351960,-72260,0.422143839
390,KS,Strip Mall,24,7,7,21,21,14,24,14,138380.93818,97452.61538,133002.1429,7,15,56560,98820,56520,108920,95800,107580,85400,72440,79680,87660,96660,118200,102440,78600,103060,107380,110200,77020,82900,61000,84280,100700,81780,92180,97980,123280,69920,92420,101500,80700,105060,90900,63180,98340,70600,85000,110280,114440,92360,109260,84200,92200,75360,106200,74900,105080,136120,79000,85720,190540,183800,129400,91320,102800,104100,114420,82220,116040,93720,111200,111740,75600,102180,120320,115240,102900,76580,73100,70760,106220,81460,125640,100700,92320,115800,66980,63280,84420,115240,120920,99060,121020,72600,103680,90580,102360,98440,100300,84020,117680,135320,139140,155920,154480,128300,169560,191760,142240,224220,162780,168220,223220,241640,181440,130540,145460,148520,132580,139100,205180,126080,175960,181820,189120,170820,154480,148180,136620,138700,167320,153340,-23840,0.234434101
391,IL,Standalone,24,7,7,21,21,14,24,14,327380.55586,263471.6923,324871.4286,226,46,247560,189720,262920,201960,202760,288480,283100,283660,194280,272700,195100,272980,289640,278020,251680,230760,284680,224100,181340,209280,253300,264400,298840,235500,199200,276980,222500,216220,226240,201260,195940,265620,201140,218260,271760,306520,313580,237640,220140,324480,244280,278220,216980,308460,266000,316440,404180,302620,299160,492300,473140,316560,280600,227080,293460,232380,194940,338820,301860,250440,209440,222780,283740,248140,329400,322360,283640,333020,297580,243800,248000,244760,299260,301820,261000,192920,211200,299400,260520,319240,204360,256620,308240,290520,299840,342120,310180,270280,254660,267660,347440,348660,279480,356500,339060,293660,376520,337000,409180,381600,335740,584900,477880,506680,310720,313300,315880,368180,339460,439840,275400,295360,397960,401800,306160,344980,386580,287400,382760,334240,395480,-11620,0.684332084
392,IL,Standalone,24,7,7,21,21,14,24,14,305453.40389,241457.8462,297633.2143,485,51,226760,241860,235320,252240,245280,313020,251320,227220,233280,181300,272180,251320,205280,200220,222980,236540,231060,230420,186900,268760,259020,171020,225060,163700,250600,272100,262060,213440,174200,218080,195700,190800,253020,283340,264820,197800,243940,242680,235360,244720,197860,257920,219800,224120,230800,305640,400280,293740,212220,322800,375840,245600,216700,243000,247980,194720,187340,326460,281020,210740,197760,214760,261740,274580,276620,284940,274160,189840,204840,246100,182620,226700,238420,238640,285740,220960,251420,262460,187080,270560,297760,190940,298860,274500,217320,299440,207380,291860,246680,278020,217920,227160,279980,367260,363580,271020,327800,390140,359680,290480,403180,385460,567660,453960,313040,297520,298600,270420,346360,451000,277300,370220,359760,371340,390660,335100,340840,324640,260920,284460,302760,-5060,0.500502428
393,PA,Standalone,24,7,7,21,20,14,26,13,300245.16251,245360.6154,296735.5357,15,0,150920,197520,238600,249440,178640,276840,181340,225140,197960,206000,281160,225280,250660,233390,208310,225630,278670,230210,248670,177950,222410,244730,228650,235450,253810,228390,207210,270110,211450,239790,229190,238630,217610,215810,271890,282450,182290,225950,289910,295990,263210,222670,214050,286090,298230,297650,303550,251030,227970,382870,329430,264830,190230,227910,262150,242270,231710,336290,240970,260610,240730,237230,313550,299750,269410,238930,235290,226810,257450,284770,261670,238950,261170,217830,288250,207050,212930,287430,275330,228690,214750,230170,256930,276630,205490,327850,312270,290030,308670,307750,245110,242890,341760,305620,355580,382080,290120,290340,374360,378720,348560,447960,437220,362840,273440,267220,264400,326440,365780,317120,292420,257060,323240,335340,338320,387200,271060,303620,342820,325120,370340,-17270,0.577533272
394,NJ,Standalone,24,7,7,21,21,14,24,14,349850.01525,282459.0769,352981.4286,220,5,188540,220560,215800,324920,283940,280040,304860,205600,200480,211780,312200,313840,275280,212900,320520,277740,226420,246000,259180,223160,289460,208980,288040,273860,219880,303480,283900,249460,311480,236180,284720,301800,249180,268100,348380,251660,252080,325720,237780,338480,309000,287280,247240,295280,248920,266260,307360,318820,335660,505240,446200,373700,266480,233580,310620,341820,286820,288000,325440,327120,293060,286480,256020,328520,248540,309020,287200,343180,349140,348620,338440,278840,343500,339140,367320,333820,220560,324520,340660,299200,312780,340260,250300,278500,363560,293780,362280,242360,255780,302700,284840,326280,343940,383260,332920,417700,391380,332480,541320,341320,352180,625260,613660,432460,335260,365260,326440,348340,362300,397120,419240,397940,311100,377000,328020,322500,394020,400160,351780,429720,356300,-62380,0.529659921
395,NY,Standalone,24,7,7,21,20,14,24,13,243582.52566,196852.9231,245061.6071,181,17,121160,152020,159400,215580,197200,227860,141940,154140,208500,178660,190960,214400,208420,187330,144110,213250,196550,251990,179950,164610,206130,210810,214850,143970,198170,204470,146050,149350,143790,179430,158210,174350,186630,175870,171590,225850,163610,225470,236390,164810,198950,173850,175450,231010,253730,204330,325850,182730,173690,348150,308850,213210,220850,219110,161090,163270,205090,299950,220290,153410,229630,200910,182990,165650,195570,170950,207330,242490,163090,253970,208670,173890,215530,154570,217890,196370,157890,182370,226550,197290,201370,146050,229690,244130,241910,181190,171950,251090,208610,224150,223450,162910,304660,277140,264140,285920,267800,240200,407040,255940,245920,380100,331500,325860,244240,292740,278940,280000,269860,253460,295460,263080,260400,275540,251120,324060,296400,287480,280180,240260,288660,-21090,0.471244625
396,IL,Standalone,24,7,7,21,21,14,24,14,342977.83616,276801.8462,348478.5714,94,4,203120,202520,255240,275700,198920,338600,288400,222940,237220,219380,282940,307480,300320,310000,202040,243600,308800,328780,207480,214480,258500,295440,314100,241140,252280,256940,226960,222400,254840,213800,257640,276060,321040,278140,300460,330840,283320,238600,245480,221740,295480,302600,236060,229360,292660,386940,324480,310420,347700,407080,362080,380880,303660,253100,233880,243700,211500,439000,222120,335880,240040,347280,246600,363840,238100,248960,312880,238580,255840,385560,229760,293120,259340,288640,347440,249340,297980,269840,336580,320960,349340,246460,319740,351780,293120,330920,312700,270700,361420,289060,350760,365220,399080,310880,389600,414220,453260,439240,578240,349220,386620,610160,537040,415180,292880,367240,330660,409120,318660,384300,386920,336440,323420,408580,313220,325560,371780,314880,395580,335520,441260,9680,0.762238067
397,TX,Standalone,24,7,7,21,21,14,24,14,138944.79469,97619.07692,140366.7857,5,1,95780,96240,61320,74260,74640,107860,99240,85900,93740,65880,113820,97940,107020,99960,63260,92560,78600,76140,105140,85360,90480,91620,90660,95660,91520,94180,86120,75660,111640,71960,116180,110400,106940,124480,111380,85660,86660,117080,94220,104500,80160,95280,85760,97860,84760,126340,156040,90880,104640,143860,135580,109960,98720,119240,79400,72900,72020,119100,111800,78400,127460,90220,93760,120280,119160,118040,80120,78620,106140,133580,125060,104880,122300,118620,108120,107720,103560,99380,119220,113600,108980,109880,107880,106020,77700,95520,104360,81160,91080,98520,129720,135880,138580,138460,137640,181200,186600,148840,234260,155440,213860,199580,251480,200560,153240,149940,149620,185700,166480,211340,173020,184480,160060,168180,139040,196080,135360,174540,133480,140540,167280,-7060,0.280077153
398,CO,Strip Mall,24,7,7,21,20,14,26,13,420858.13848,354492.9231,394757.6786,273,12,282260,245000,308880,370040,351680,385400,341980,346600,253560,240280,261880,270580,381100,329770,321270,256930,338750,342650,366510,363330,342530,362430,354550,318190,308110,280170,259790,375510,318170,337770,370510,311470,327210,342510,407230,336350,384230,330550,343550,272370,335650,400630,365950,413130,383910,379470,434390,386710,354890,563230,642230,512950,338210,389910,277630,414810,383770,491570,385630,412890,286810,420670,318690,329990,376670,382610,375190,282290,315710,415290,355390,309130,271470,358830,371830,343510,337070,431690,286130,333330,314750,278510,302990,390910,295310,343350,457670,296690,345350,311570,365510,376650,345340,463560,512880,356620,420460,450460,619860,386040,508540,556480,640940,555760,375760,384620,449720,401460,335700,440480,396780,406340,464780,385700,485640,422080,470900,371560,364760,364460,520020,-51330,0.810664427
399,WA,Standalone,24,7,7,21,20,14,24,13,141455.17476,104129.5385,139215.8929,53,26,94360,90700,99800,93200,97200,112780,82980,93240,68720,96920,77900,89000,68880,85210,88030,108970,94990,111010,81490,91010,98930,98970,110230,76190,91530,120770,80170,111970,110230,103950,89930,93510,113770,87370,89250,105290,118710,120910,93650,119330,77150,97310,113650,96770,126650,138770,139570,111190,92330,178010,164950,104250,111630,77150,81010,138610,83810,148830,130950,117090,107910,111590,93430,144090,120670,100770,127010,103430,118510,116830,103390,111990,108370,106510,117230,80910,94870,135370,109630,112450,111430,89710,91290,129910,85310,110730,127270,104270,77330,79010,144830,100550,188060,163580,139260,143940,180280,174240,212240,182520,208840,260460,194580,197780,121780,173240,141820,180200,122280,224900,142140,140620,178700,161800,148780,140520,146360,145100,158520,185000,139640,16330,0.24854102
400,TX,Strip Mall,24,7,7,21,19,14,24,12,304535.48937,261271.3846,297338.2143,66,33,207320,200500,199040,256500,214500,313080,217640,218620,281280,231340,293700,257620,176260,284980,268000,186480,219240,309040,224600,269500,233140,270420,259140,259000,216240,280760,251760,216060,200720,222960,224220,220520,255860,254240,254600,208560,254200,266560,210460,231780,211460,286980,312860,295560,266000,321860,411580,265480,265720,422060,424840,383700,191240,303220,265280,310420,207100,376200,309260,226640,231440,233660,217860,343280,278500,269840,208380,294440,284060,309620,190360,265900,251640,256860,260320,239280,195860,225280,300620,227480,237940,220000,246500,249660,312140,305860,299260,233780,242020,299160,226600,298120,259360,321020,285080,254200,290100,352840,412420,332460,398160,481300,486700,365920,251880,244480,240000,312760,320840,367980,279180,361740,371000,354520,327660,371080,302520,299500,362920,324700,367640,108720,0.70121756
401,MO,Strip Mall,24,7,7,21,21,14,24,14,169318.50696,124474.1538,167091.0714,57,17,94200,107200,67900,124860,80420,133000,129720,139020,120700,125300,86640,150020,130360,127240,117760,124000,81740,112400,130260,89980,89400,106480,137240,94480,96200,156420,79500,107820,82300,85220,95080,114880,94380,133440,130660,98280,147420,109200,98100,151080,146720,100740,150740,149960,130540,144120,191860,136480,166980,179900,192620,177080,83880,144860,109560,141320,141580,149020,114140,147700,95440,153880,165240,165280,130880,142760,136100,125440,99620,112700,119760,98800,117540,103660,153960,141600,128120,141920,118260,91040,143540,148680,167540,153560,106280,153780,139140,145400,167860,108720,178080,171980,155720,210960,166660,217600,223840,245100,293200,199180,170080,249460,273720,262740,159520,183000,164820,226640,171740,212240,201680,165520,181300,203940,160320,186380,204460,159600,173120,164320,154400,-3120,0.33876864
402,IA,Strip Mall,24,7,7,21,20,14,26,13,150590.11147,110902.7692,156399.4643,316,22,70920,93180,100660,103020,84300,135100,89340,89760,89520,123300,123480,122660,70120,72830,98810,128310,110030,96410,119590,83030,73270,79930,90030,117770,113370,97610,102090,90990,122590,78670,125590,124770,114570,86830,81090,123470,95530,90350,89870,85430,120590,131210,121690,128170,101010,112850,198570,122130,99870,184230,190990,157910,74250,114430,111910,143170,123510,186670,93750,140350,110090,88230,131770,138870,94270,96890,129590,121270,145150,137730,109830,110870,134690,144390,127510,85250,137330,111950,110290,94470,128630,138410,123110,152690,100970,100030,125350,135410,152550,138410,135550,150270,189020,162500,143320,191420,172940,228460,198860,173000,195640,216720,286120,258440,188020,164680,194360,168000,147220,187460,170760,167440,167680,201560,174300,155440,155640,204180,171700,180360,164540,2710,0.222127318
403,WY,Strip Mall,24,7,7,21,20,14,24,13,267379.30273,219476.9231,267961.6071,189,7,138260,173760,191420,183760,142120,256580,152280,196660,232480,161980,246560,227780,219540,241070,243190,162170,204750,223770,151210,212270,235830,167510,188290,202770,188330,187490,229830,200310,212370,169210,215950,171990,164170,230390,189310,255370,161730,225730,245410,237570,210350,243850,180290,208470,249330,283250,287330,273830,253370,280430,389970,335250,195950,242870,194910,173550,243950,245730,251450,224810,222730,244250,253330,276750,258830,265710,193710,254210,260330,282270,230690,171050,231550,211690,191590,228370,217250,208350,199570,165490,223810,250370,217270,248110,170090,193390,202150,253430,278530,238210,229430,180010,235780,322940,244000,318440,293720,342080,377140,294700,339280,452820,421580,346780,277500,241560,279120,280680,238960,404820,325180,233020,334560,308260,342960,293940,310940,310260,252480,287440,298280,21530,0.595690099
404,NJ,Strip Mall,24,7,7,21,21,14,28,14,354174.80741,282552.9231,363563.2143,70,14,271960,213320,182500,226820,307760,264240,212760,280120,283160,303960,289160,341000,304700,253700,234960,268820,208700,359500,264980,224060,298060,248360,256120,256180,224060,256860,213800,267080,314000,248380,217280,213820,218300,247720,234960,237260,307700,250840,232960,289920,269360,346100,284440,228760,319240,377620,456600,242340,401100,474500,518240,316180,234120,248240,222960,311660,327260,415620,300840,313020,223300,341220,269700,307540,286140,316380,335920,309960,293840,394960,305300,322200,354720,301720,265880,233420,313820,396680,349040,228260,337720,256980,285700,342480,296060,312440,312000,257340,363680,344600,264660,344040,394060,407400,386980,359800,429720,478340,454660,354580,385240,530520,569840,471560,381900,381800,406060,395680,349800,498680,358720,423560,380000,422040,339820,379520,378800,429640,372000,443620,355400,-51000,0.625769243
405,PA,Strip Mall,24,7,7,21,21,14,24,14,356096.76662,291979.6923,382573.9286,46,1,239000,244380,226680,341720,316400,370480,231960,293840,234000,287760,231960,253280,224760,258320,236380,312360,275200,358960,269140,254140,223380,239040,284580,244460,280660,247280,297320,334060,215440,234460,274400,235460,315860,262880,358020,228960,231680,312780,258860,261180,251260,275160,353100,327900,308500,331780,349640,245440,345720,501020,543820,425880,323860,249820,266800,367740,362260,322340,276380,277360,276680,300440,253040,271300,369960,323620,357140,363400,272360,314040,289480,244640,324700,317260,331540,267640,339200,393420,286620,286760,295260,274720,369480,376020,269480,268920,399160,390400,304340,391880,327040,303000,464820,340260,424080,436460,423880,436800,474940,471480,445380,577060,611680,561820,384000,406100,329440,381040,341660,446500,435240,381420,455220,455140,413900,440900,436880,422080,457740,443200,443500,33560,0.636834056
406,PA,Strip Mall,24,7,7,21,21,14,24,14,326171.31272,263007.0769,323116.0714,34,5,237240,207960,164600,289000,258440,352180,269940,199220,236460,249280,217780,251300,283140,213820,236700,219660,266960,316880,219040,183040,203800,281660,310180,261640,270320,220860,274960,279840,185900,179540,303000,260340,245380,202400,292740,215600,291560,201880,293420,239420,202220,207620,258080,201360,323500,296060,294440,225700,229500,458800,508840,388240,207860,191340,213540,274140,277860,373880,304820,294460,260920,317320,274240,340360,283280,223960,224020,299440,323120,306680,245380,330580,211280,230240,330480,235840,276200,320440,317840,294140,300840,321180,228560,235120,298080,343260,282520,338980,264380,270580,258980,234100,287940,403660,277480,283060,311060,347340,480140,352220,312920,440180,461260,480460,356900,378960,371460,344900,358240,352120,340920,405100,339880,399820,414840,346620,328560,346180,326780,292160,407120,-69320,0.531790154
407,MI,Standalone,24,7,7,21,21,14,24,14,196949.06718,147224.6154,195855.7143,380,18,101320,150280,146780,110760,93800,133940,122260,120020,122940,116820,110880,125200,132320,152120,155880,130240,157380,167160,158300,105540,109580,153380,108160,147460,97680,166300,115780,98420,115440,156400,160940,111220,163500,179480,165080,138000,156100,158900,164900,164600,185380,132600,133180,119580,150380,182820,193200,188960,179160,282780,228680,223260,141560,179880,126120,149200,113240,149200,167580,162080,117620,157540,150000,168060,142280,170300,129320,136560,161820,132920,117660,178720,186660,124700,159740,117580,124320,130600,112260,163940,172120,136000,153800,148640,151960,168620,183440,125800,137580,152380,211280,179360,240900,205060,218400,263740,231980,259860,340140,247880,220340,310200,280140,264940,226600,196020,223660,220500,191100,274600,246100,233020,217320,178800,235260,257360,182880,246400,246260,218020,222360,19800,0.392956896
408,TX,Strip Mall,24,7,7,21,21,14,24,14,387002.15118,320350.1538,394549.6429,94,14,204360,230760,307460,234040,327780,380040,305060,301800,343960,265320,364900,275980,254320,268860,347160,278300,289960,374220,304640,290240,331620,298460,278680,307700,330420,402020,324060,326880,234620,236560,275640,283820,299500,290980,336460,341320,255320,290940,255540,261300,339940,363880,292620,390640,269480,388180,468460,310880,336360,546720,555720,401340,280500,368680,317580,275400,294580,393280,273220,400260,382480,345020,268760,337740,310040,389820,268060,408120,305080,358160,374680,370740,385120,322640,346840,286440,296720,436580,341780,265480,306640,366360,368600,301080,339320,425940,293000,318260,284260,396220,412020,434360,383140,426640,493180,495520,348600,437880,571960,441920,430080,674680,571300,429240,420060,339120,411020,357480,391980,490980,335600,488740,379820,334120,480600,526020,361440,475680,438900,332760,424000,14540,0.662187458
409,AZ,Strip Mall,24,7,7,21,21,14,24,14,347069.83814,284277.2308,344866.4286,251,16,284280,264360,281900,263260,239460,302580,258940,309980,274060,283920,280460,235080,256680,304800,309920,230880,315160,266040,195040,259360,275600,202380,314180,212660,219200,299920,292360,237000,230620,240540,247880,235060,318460,311080,325660,235140,337100,241900,350140,328160,229120,347860,338820,290460,302680,317720,391560,232820,383420,393020,412560,318300,244140,289300,223120,250960,242260,423760,231200,286240,230640,242780,360560,358860,264660,273360,274740,282280,258340,364120,336600,243040,278920,276540,305640,218560,285060,328300,249400,307660,260640,264920,258000,276560,362300,341960,325120,300460,331980,339760,258120,374440,400560,310860,322920,336480,313920,466760,414640,443360,460340,623460,464600,433220,395940,401300,397780,337720,406680,444260,358620,310480,357480,353340,313260,399060,353300,400020,333900,409240,372200,48120,0.749523407
410,PA,Standalone,24,7,7,21,20,14,24,13,382234.62746,323890.7692,377929.4643,103,4,200900,295940,229100,331420,310660,350800,250020,320720,276380,299960,300340,261600,338360,340110,347370,293910,259710,269970,350070,263810,310090,266630,376810,319410,295730,263950,276630,336050,319710,325270,327850,333170,248550,250390,322170,246930,323510,333150,392610,355890,376630,379010,350890,275930,319510,309270,400090,275510,451830,575570,423950,484270,326270,315430,358470,371570,325290,326290,332450,273430,300590,379270,317930,387810,299990,329310,389530,364510,348010,333590,296510,265990,271210,307670,317890,282710,310230,342770,260530,300110,252530,266390,333390,300750,402850,367910,332450,307130,379930,350110,327350,282590,372500,417780,419200,448240,472660,467580,615020,435420,431920,663320,537980,435760,432960,453780,401980,387280,330180,434060,403560,373740,434660,400260,377100,421780,339860,392520,445880,352500,440620,1750,0.836011858
411,UT,Standalone,24,7,7,21,21,14,24,14,206087.78365,154971.6923,199883.9286,441,14,136920,128800,130260,159980,159500,150980,145780,169780,151820,157440,183260,167040,102460,117080,135500,132260,174820,127000,104940,108220,135820,165760,147100,104900,133220,155720,135620,110000,113700,140980,109660,170220,163340,117580,136640,177760,136520,144940,180560,175680,126660,152720,121720,179580,175540,167880,215360,195640,171560,235880,299280,228860,131320,113180,129340,174100,128240,156900,156540,196540,181400,177520,161320,212320,184200,152480,195280,178420,132920,193800,131080,139540,144260,136960,197800,177120,141180,209060,123380,143140,117620,147520,160380,148700,148380,138980,150980,193920,149680,137740,136460,162020,179320,261920,241040,209680,274500,227060,346120,186920,294500,339400,317960,311700,199140,252540,176820,242620,216020,280700,242520,235760,185980,225400,213720,225460,208000,214940,238740,266960,189260,14620,0.316838732
412,PA,Strip Mall,24,7,7,21,19,14,24,12,333889.68557,285429.2308,340896.7857,233,10,198940,298600,179660,251600,249800,380160,297880,277420,229400,301280,322380,322900,221660,288860,219760,258960,250940,269940,217660,315280,237440,322800,319560,198180,294780,251360,238760,277200,300880,264920,260660,265740,236900,332880,254940,290300,257400,286020,321380,242580,277240,272900,256240,297580,257320,351620,330120,242920,349180,387140,458200,328740,241680,333440,274840,268420,250580,420900,360620,315440,259220,321200,290340,328120,271140,323740,233420,324980,301960,301560,326960,231420,228160,215140,355100,309180,211700,270980,319280,306340,232440,259240,334100,341140,337220,347080,343460,352060,349600,288560,291360,347980,394440,293820,359320,291200,401700,336400,462160,389340,330460,597060,575840,508340,260180,387380,334940,331280,380420,418340,329940,380700,405920,400960,372220,403640,331780,282000,383700,337460,325120,67200,0.710650357
